epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,400.276,1.03809,0.6467,1.13975,0.86869,0.76292,0.77197,0.50212,1.05174,0.67245,1.29912,0.000848969,0.000848969,0.000848969
43,409.282,1.02159,0.63493,1.11661,0.84629,0.75458,0.77791,0.46129,1.29705,0.73203,1.3928,0.000834822,0.000834822,0.000834822
44,419.359,1.01625,0.61569,1.10223,0.85556,0.79084,0.80474,0.52895,1.11792,0.63349,1.32102,0.000820675,0.000820675,0.000820675
45,428.377,1.02663,0.63518,1.1173,0.73264,0.75824,0.76663,0.47526,1.13734,0.66913,1.30763,0.000806528,0.000806528,0.000806528
46,437.223,1.00803,0.62316,1.13152,0.84988,0.79122,0.8071,0.53564,1.05091,0.61217,1.29943,0.00079238,0.00079238,0.00079238
47,447.34,1.00941,0.61231,1.11975,0.85018,0.69539,0.77021,0.47732,1.12675,0.6614,1.33907,0.000778233,0.000778233,0.000778233
48,456.535,1.00895,0.61074,1.10942,0.85254,0.75824,0.81524,0.50234,1.09514,0.60848,1.31005,0.000764086,0.000764086,0.000764086
49,465.392,1.00431,0.61154,1.12667,0.86601,0.71062,0.77036,0.4759,1.27964,0.69184,1.39414,0.000749939,0.000749939,0.000749939
50,475.56,1.00045,0.59052,1.10762,0.78391,0.78755,0.77624,0.51103,1.19338,0.66283,1.40532,0.000735792,0.000735792,0.000735792
51,484.66,0.96979,0.58134,1.0791,0.72008,0.74176,0.7671,0.45214,1.28115,0.70245,1.44746,0.000721645,0.000721645,0.000721645
52,493.767,0.98774,0.60025,1.10297,0.80694,0.75275,0.78058,0.52238,1.19071,0.65057,1.4534,0.000707498,0.000707498,0.000707498
53,503.817,0.97115,0.59686,1.11112,0.87279,0.73077,0.7507,0.46684,1.23498,0.67755,1.39331,0.000693351,0.000693351,0.000693351
54,512.912,0.94212,0.57325,1.08528,0.74267,0.70024,0.70399,0.47332,1.12773,0.7074,1.37567,0.000679204,0.000679204,0.000679204
55,522.091,0.93316,0.57173,1.07604,0.80496,0.72161,0.74224,0.45549,1.21766,0.67526,1.47019,0.000665057,0.000665057,0.000665057
56,531.153,0.94381,0.56052,1.08303,0.84564,0.7386,0.76086,0.48665,1.18525,0.67479,1.41005,0.000650909,0.000650909,0.000650909
57,541.203,0.90008,0.54032,1.05391,0.83954,0.73889,0.76241,0.50677,1.06112,0.63355,1.33405,0.000636762,0.000636762,0.000636762
58,550.512,0.94398,0.58409,1.09063,0.84993,0.79853,0.78775,0.47987,1.29954,0.73779,1.50339,0.000622615,0.000622615,0.000622615
59,560.128,0.97002,0.59768,1.10537,0.86288,0.76557,0.80203,0.52879,1.09131,0.6059,1.41506,0.000608468,0.000608468,0.000608468
60,569.369,0.88877,0.55133,1.05215,0.82778,0.76745,0.7807,0.52134,1.06425,0.61094,1.42512,0.000594321,0.000594321,0.000594321
61,578.709,0.9014,0.54181,1.0524,0.81895,0.73956,0.77893,0.5131,1.17195,0.63542,1.40284,0.000580174,0.000580174,0.000580174
62,588.412,0.91947,0.57038,1.08449,0.8481,0.7594,0.78301,0.51456,1.05662,0.61767,1.36343,0.000566027,0.000566027,0.000566027
63,598.907,0.89748,0.52824,1.04745,0.76424,0.71064,0.72119,0.44866,1.19305,0.73516,1.44265,0.00055188,0.00055188,0.00055188
64,608.535,0.87065,0.53812,1.0529,0.85159,0.76388,0.78864,0.55042,0.94235,0.58486,1.29385,0.000537733,0.000537733,0.000537733
65,618.888,0.88452,0.52381,1.05745,0.78823,0.74804,0.76665,0.51928,1.02596,0.64887,1.3247,0.000523586,0.000523586,0.000523586
66,630.293,0.87606,0.52642,1.04411,0.84263,0.78205,0.79927,0.51009,1.13217,0.61382,1.43805,0.000509438,0.000509438,0.000509438
67,641.602,0.87331,0.52335,1.04853,0.80409,0.78615,0.7859,0.5003,0.97558,0.60626,1.3713,0.000495291,0.000495291,0.000495291
68,653.022,0.88371,0.53524,1.05279,0.79559,0.76058,0.77284,0.4883,1.13396,0.67846,1.41805,0.000481144,0.000481144,0.000481144
69,662.982,0.84005,0.50655,1.03649,0.8425,0.75824,0.80588,0.52658,1.03413,0.61906,1.36383,0.000466997,0.000466997,0.000466997
70,672.12,0.84085,0.50304,1.03306,0.91178,0.77075,0.81991,0.53039,1.05895,0.582,1.41942,0.00045285,0.00045285,0.00045285
71,681.242,0.86798,0.52371,1.05661,0.80517,0.74426,0.76341,0.50159,1.0152,0.62422,1.35564,0.000438703,0.000438703,0.000438703
72,690.443,0.85343,0.50893,1.03685,0.79748,0.78296,0.78403,0.53116,1.0707,0.60999,1.45738,0.000424556,0.000424556,0.000424556
73,699.916,0.82883,0.50026,1.02858,0.77073,0.82234,0.79175,0.53566,1.00702,0.5829,1.40212,0.000410409,0.000410409,0.000410409
74,709.235,0.80921,0.49539,1.01144,0.80032,0.79839,0.79813,0.52914,1.03078,0.59426,1.36961,0.000396262,0.000396262,0.000396262
75,719.054,0.8364,0.48978,1.01567,0.84684,0.75275,0.78211,0.52795,1.05153,0.59285,1.42189,0.000382115,0.000382115,0.000382115
76,728.56,0.80291,0.48724,1.01299,0.8611,0.7133,0.76566,0.51119,1.05176,0.62101,1.37029,0.000367967,0.000367967,0.000367967
77,737.806,0.7841,0.47576,1.02052,0.85432,0.79487,0.81891,0.54658,1.00092,0.57994,1.37224,0.00035382,0.00035382,0.00035382
