epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.20648,1.53565,2.83942,1.27429,0.00391,0.72165,0.44253,0.23597,1.29724,3.26336,1.11965,0.000545182,0.000545182,0.000545182
2,16.2927,1.4843,2.06793,1.2412,0.44317,0.47619,0.38721,0.22523,1.44763,2.42492,1.29604,0.00108995,0.00108995,0.00108995
3,22.0117,1.49351,1.89669,1.31573,0.43735,0.5,0.45533,0.26157,1.41839,1.87018,1.46984,0.00162372,0.00162372,0.00162372
4,28.0167,1.47686,1.65377,1.30042,0.61611,0.61538,0.58366,0.32103,1.442,1.69922,1.44007,0.00161749,0.00161749,0.00161749
5,34.5448,1.4846,1.47031,1.27134,0.65719,0.63228,0.62218,0.3608,1.28489,1.87892,1.31786,0.00160099,0.00160099,0.00160099
6,41.3815,1.51381,1.36399,1.31573,0.67821,0.61722,0.65573,0.326,1.44622,1.39325,1.51652,0.00158448,0.00158448,0.00158448
7,48.7098,1.41923,1.26795,1.28777,0.59436,0.6686,0.67662,0.34634,1.4451,1.193,1.48898,0.00156798,0.00156798,0.00156798
8,56.736,1.37496,1.11507,1.24787,0.44555,0.43502,0.44588,0.2512,1.55582,1.51163,1.49937,0.00155148,0.00155148,0.00155148
9,63.522,1.35279,1.06111,1.25464,0.82384,0.66484,0.73235,0.40271,1.49508,0.9544,1.45371,0.00153497,0.00153497,0.00153497
10,70.306,1.35236,1.04918,1.25898,0.72781,0.63373,0.65981,0.38458,1.2672,0.94549,1.33335,0.00151847,0.00151847,0.00151847
11,77.1253,1.31438,0.97121,1.24125,0.6705,0.67582,0.7036,0.43455,1.29121,0.88043,1.37974,0.00150197,0.00150197,0.00150197
12,83.7132,1.32756,0.9831,1.24129,0.78826,0.68424,0.737,0.46695,1.17571,0.85552,1.34058,0.00148546,0.00148546,0.00148546
13,90.5569,1.31948,0.96701,1.22406,0.78754,0.67216,0.728,0.42327,1.21042,0.80655,1.32227,0.00146896,0.00146896,0.00146896
14,96.9581,1.28358,0.92488,1.21583,0.69604,0.57781,0.6495,0.39171,1.30524,0.95969,1.36827,0.00145246,0.00145246,0.00145246
15,103.346,1.2637,0.90052,1.19348,0.74722,0.75233,0.76689,0.41446,1.36367,0.92617,1.39008,0.00143595,0.00143595,0.00143595
16,110.716,1.27281,0.88449,1.21728,0.7759,0.76928,0.79541,0.49423,1.16252,0.77495,1.30527,0.00141945,0.00141945,0.00141945
17,116.764,1.25159,0.87129,1.19688,0.67339,0.62883,0.62688,0.3919,1.11213,0.99585,1.29239,0.00140295,0.00140295,0.00140295
18,123.724,1.24664,0.87068,1.19785,0.64749,0.63967,0.60863,0.36605,1.18237,0.96949,1.36031,0.00138644,0.00138644,0.00138644
19,130.926,1.23431,0.85038,1.18966,0.73082,0.70902,0.73957,0.44627,1.43033,0.77502,1.44783,0.00136994,0.00136994,0.00136994
20,137.644,1.27329,0.84706,1.20084,0.76725,0.75824,0.73812,0.43811,1.22436,0.78404,1.3632,0.00135344,0.00135344,0.00135344
21,144.493,1.19642,0.81825,1.17153,0.8498,0.72007,0.7415,0.46842,1.15275,0.77313,1.36127,0.00133693,0.00133693,0.00133693
22,151.289,1.19332,0.78185,1.18928,0.82611,0.72344,0.75941,0.47285,1.16856,0.82271,1.3722,0.00132043,0.00132043,0.00132043
23,159.035,1.21371,0.82232,1.19044,0.7366,0.76007,0.76501,0.50771,1.11846,0.74664,1.30425,0.00130393,0.00130393,0.00130393
24,165.846,1.2332,0.81561,1.17552,0.75625,0.7167,0.73143,0.47416,1.11427,0.77232,1.34175,0.00128742,0.00128742,0.00128742
25,172.151,1.1579,0.75999,1.15996,0.82717,0.70072,0.72884,0.468,1.1837,0.77326,1.34145,0.00127092,0.00127092,0.00127092
26,178.872,1.17812,0.76385,1.15788,0.79683,0.76319,0.76795,0.47419,1.06526,0.74968,1.31226,0.00125442,0.00125442,0.00125442
27,185.248,1.12728,0.72982,1.13855,0.82412,0.68702,0.74059,0.4769,1.07108,0.73406,1.29213,0.00123791,0.00123791,0.00123791
28,191.178,1.1138,0.72321,1.1434,0.82293,0.80636,0.78439,0.49017,1.03917,0.71807,1.26237,0.00122141,0.00122141,0.00122141
29,198.096,1.1095,0.72544,1.14287,0.85514,0.77257,0.76939,0.46689,1.24955,0.74852,1.34224,0.00120491,0.00120491,0.00120491
30,204.279,1.14263,0.74956,1.1441,0.74385,0.72894,0.7212,0.42442,1.34004,0.82531,1.45038,0.0011884,0.0011884,0.0011884
31,210.349,1.12211,0.7239,1.13388,0.81244,0.68888,0.74991,0.48526,1.03557,0.73316,1.32026,0.0011719,0.0011719,0.0011719
32,216.402,1.11579,0.71164,1.13812,0.93059,0.75582,0.79326,0.48947,1.17684,0.70193,1.38597,0.0011554,0.0011554,0.0011554
33,222.995,1.1228,0.69914,1.13171,0.89285,0.71416,0.76075,0.46715,1.18187,0.70615,1.38728,0.00113889,0.00113889,0.00113889
34,229.09,1.09469,0.69095,1.1188,0.83555,0.64652,0.71729,0.46805,1.05216,0.72775,1.30802,0.00112239,0.00112239,0.00112239
35,235.241,1.06698,0.66089,1.10451,0.86296,0.68983,0.72401,0.46494,1.17186,0.72932,1.35932,0.00110589,0.00110589,0.00110589
36,240.731,1.06033,0.66191,1.10782,0.84701,0.76375,0.7722,0.51537,1.06836,0.68236,1.32581,0.00108938,0.00108938,0.00108938
37,246.676,1.05886,0.65677,1.09308,0.77572,0.7073,0.69454,0.45234,1.03491,0.70356,1.30696,0.00107288,0.00107288,0.00107288
38,253.135,1.04783,0.65403,1.09961,0.77429,0.71795,0.75731,0.51021,1.00593,0.64608,1.25094,0.00105638,0.00105638,0.00105638
39,259.948,1.04275,0.63501,1.09723,0.69707,0.73077,0.71508,0.47355,1.06463,0.73293,1.26983,0.00103987,0.00103987,0.00103987
40,266.731,1.05168,0.65609,1.09888,0.75749,0.73443,0.7222,0.49501,1.03196,0.66995,1.25967,0.00102337,0.00102337,0.00102337
41,272.656,1.02019,0.64648,1.07216,0.73228,0.69713,0.70106,0.48518,1.01065,0.7106,1.24643,0.00100687,0.00100687,0.00100687
42,278.644,1.04211,0.63002,1.08755,0.88517,0.65275,0.74383,0.51964,1.00567,0.65818,1.25315,0.000990365,0.000990365,0.000990365
43,285.247,1.00953,0.61325,1.08373,0.83559,0.69604,0.69628,0.45982,1.06692,0.70943,1.2968,0.000973861,0.000973861,0.000973861
44,291.908,0.99075,0.61378,1.07089,0.81304,0.75627,0.74469,0.50236,1.02945,0.6357,1.30217,0.000957358,0.000957358,0.000957358
45,298.989,0.99654,0.60712,1.06717,0.65841,0.70769,0.67194,0.4314,1.08418,0.71777,1.34331,0.000940855,0.000940855,0.000940855
46,305.482,0.98998,0.61086,1.07089,0.69791,0.71062,0.71356,0.4746,1.07245,0.68705,1.33764,0.000924352,0.000924352,0.000924352
47,311.627,1.0132,0.61689,1.08311,0.84225,0.69799,0.75738,0.4651,1.16224,0.66508,1.43847,0.000907848,0.000907848,0.000907848
48,317.787,1.01088,0.61629,1.07777,0.75084,0.66616,0.68561,0.47782,0.99139,0.65551,1.30874,0.000891345,0.000891345,0.000891345
49,323.916,0.95801,0.58325,1.06709,0.68798,0.72894,0.69962,0.49775,0.9886,0.64818,1.26122,0.000874842,0.000874842,0.000874842
50,329.914,0.96046,0.58581,1.07285,0.78382,0.77055,0.74977,0.49944,1.11692,0.667,1.3183,0.000858338,0.000858338,0.000858338
51,335.901,0.9674,0.60067,1.05783,0.77732,0.73077,0.76874,0.53317,0.98294,0.66301,1.26449,0.000841835,0.000841835,0.000841835
52,341.978,0.94638,0.57414,1.04964,0.90977,0.65454,0.74379,0.53191,0.96723,0.66537,1.24039,0.000825332,0.000825332,0.000825332
53,348.188,0.94705,0.57848,1.04346,0.86998,0.70513,0.76804,0.55177,0.99587,0.61878,1.31581,0.000808828,0.000808828,0.000808828
54,354.485,0.93893,0.58792,1.04413,0.82526,0.708,0.7759,0.5388,0.98306,0.61797,1.26288,0.000792325,0.000792325,0.000792325
55,360.321,0.94693,0.57182,1.07199,0.77387,0.71983,0.74903,0.51899,1.0351,0.65548,1.32756,0.000775822,0.000775822,0.000775822
56,366.14,0.92589,0.57422,1.03958,0.75547,0.75369,0.74395,0.52816,0.96841,0.60906,1.30036,0.000759318,0.000759318,0.000759318
57,371.969,0.89662,0.54423,1.02301,0.88358,0.72344,0.75696,0.53522,1.00107,0.62919,1.31568,0.000742815,0.000742815,0.000742815
58,377.824,0.93387,0.57854,1.04027,0.86661,0.73875,0.78367,0.5515,0.92783,0.61407,1.2671,0.000726312,0.000726312,0.000726312
59,383.674,0.91836,0.55212,1.04283,0.72969,0.73443,0.73067,0.50076,0.98123,0.63503,1.30058,0.000709809,0.000709809,0.000709809
60,389.525,0.91693,0.55885,1.03565,0.75742,0.76842,0.76774,0.54796,0.93452,0.59797,1.25136,0.000693305,0.000693305,0.000693305
61,395.387,0.89411,0.53968,1.02144,0.82635,0.74242,0.75243,0.55155,0.9322,0.61562,1.28552,0.000676802,0.000676802,0.000676802
62,401.239,0.87801,0.5317,1.02424,0.89464,0.70763,0.7745,0.5561,0.94906,0.59312,1.26047,0.000660299,0.000660299,0.000660299
63,407.084,0.8939,0.53995,1.03328,0.81239,0.73623,0.73586,0.5177,0.94957,0.63142,1.29576,0.000643795,0.000643795,0.000643795
64,412.928,0.88256,0.51936,1.02567,0.83734,0.76007,0.79026,0.57013,0.95358,0.58783,1.30262,0.000627292,0.000627292,0.000627292
65,418.775,0.87226,0.52535,1.0187,0.84824,0.68998,0.7513,0.548,0.93797,0.61241,1.2792,0.000610789,0.000610789,0.000610789
66,424.589,0.87687,0.53727,1.01343,0.82967,0.74911,0.75142,0.5225,1.02445,0.6226,1.33403,0.000594286,0.000594286,0.000594286
67,430.434,0.86963,0.54012,1.01298,0.86792,0.72798,0.76472,0.54822,0.94128,0.59906,1.30313,0.000577782,0.000577782,0.000577782
68,436.284,0.85369,0.51813,1.01191,0.76997,0.73993,0.73985,0.52193,0.9642,0.63101,1.29484,0.000561279,0.000561279,0.000561279
69,442.115,0.84281,0.52294,0.99823,0.77033,0.76787,0.76809,0.54938,0.92255,0.6153,1.28757,0.000544776,0.000544776,0.000544776
70,447.949,0.83877,0.51703,0.99525,0.84795,0.74176,0.7527,0.54714,0.93874,0.59352,1.29714,0.000528272,0.000528272,0.000528272
71,453.786,0.83563,0.51471,0.9981,0.78018,0.76374,0.77517,0.55182,0.98741,0.60848,1.31124,0.000511769,0.000511769,0.000511769
72,459.594,0.85782,0.52243,1.01279,0.82229,0.76374,0.76956,0.54059,0.91235,0.56313,1.2952,0.000495266,0.000495266,0.000495266
73,465.487,0.85856,0.5153,1.02102,0.88318,0.69352,0.75626,0.56798,0.87064,0.54836,1.25816,0.000478762,0.000478762,0.000478762
74,471.36,0.82293,0.50353,0.99782,0.83176,0.75506,0.76129,0.54162,0.96719,0.60087,1.32543,0.000462259,0.000462259,0.000462259
75,477.247,0.79172,0.4849,0.98102,0.81461,0.73138,0.75529,0.54268,0.9735,0.61272,1.31939,0.000445756,0.000445756,0.000445756
76,483.083,0.80701,0.48787,0.99159,0.88937,0.73465,0.77481,0.55124,0.95539,0.59883,1.35209,0.000429253,0.000429253,0.000429253
77,488.971,0.79985,0.48713,0.99504,0.87806,0.72894,0.79882,0.583,0.90365,0.55101,1.28669,0.000412749,0.000412749,0.000412749
78,494.788,0.80817,0.49224,0.98667,0.81989,0.77258,0.78068,0.57117,0.90041,0.56568,1.28962,0.000396246,0.000396246,0.000396246
79,500.662,0.81908,0.48809,0.99306,0.77146,0.83889,0.79919,0.57021,0.92031,0.55966,1.29354,0.000379743,0.000379743,0.000379743
80,506.52,0.77046,0.47016,0.97699,0.85976,0.72806,0.78281,0.55289,0.95754,0.57299,1.32927,0.000363239,0.000363239,0.000363239
81,512.407,0.7707,0.47228,0.98161,0.79914,0.80765,0.79453,0.56986,0.95682,0.562,1.30899,0.000346736,0.000346736,0.000346736
82,518.285,0.77228,0.46695,0.97119,0.8229,0.75824,0.7884,0.57759,0.91913,0.56878,1.28385,0.000330233,0.000330233,0.000330233
83,524.131,0.74749,0.45816,0.97718,0.84034,0.75275,0.78404,0.5698,0.95422,0.58424,1.31386,0.000313729,0.000313729,0.000313729
84,530.008,0.75642,0.46384,0.97899,0.87339,0.75275,0.78776,0.57012,0.90998,0.55021,1.30234,0.000297226,0.000297226,0.000297226
85,535.892,0.73989,0.45673,0.96963,0.83769,0.75406,0.78728,0.58288,0.88543,0.55145,1.30076,0.000280723,0.000280723,0.000280723
86,541.826,0.73969,0.45588,0.96665,0.8289,0.82967,0.82663,0.60171,0.91255,0.53149,1.30032,0.00026422,0.00026422,0.00026422
87,548.018,0.76124,0.46662,0.96163,0.85427,0.7207,0.79234,0.5788,0.91613,0.55407,1.31499,0.000247716,0.000247716,0.000247716
88,553.981,0.74588,0.45524,0.95319,0.92595,0.71479,0.79223,0.58232,0.89182,0.54059,1.32665,0.000231213,0.000231213,0.000231213
89,559.781,0.73346,0.44849,0.9547,0.87836,0.7269,0.78707,0.57126,0.91018,0.56039,1.31941,0.00021471,0.00021471,0.00021471
90,565.605,0.71289,0.43977,0.95686,0.82619,0.77815,0.79027,0.58108,0.90841,0.55522,1.34536,0.000198206,0.000198206,0.000198206
91,603.434,0.63233,0.39008,0.90876,0.89584,0.77361,0.81374,0.58332,0.88762,0.53075,1.2961,0.000181703,0.000181703,0.000181703
92,609.541,0.63272,0.37741,0.90322,0.92973,0.77569,0.80955,0.5982,0.86079,0.52112,1.28778,0.0001652,0.0001652,0.0001652
93,615.377,0.61846,0.37729,0.89909,0.91533,0.75905,0.79177,0.58327,0.91579,0.54925,1.36623,0.000148696,0.000148696,0.000148696
94,621.144,0.60064,0.36798,0.89867,0.83655,0.77375,0.77776,0.56135,0.89923,0.55948,1.34987,0.000132193,0.000132193,0.000132193
95,626.89,0.58953,0.35893,0.88385,0.747,0.77017,0.77025,0.56332,0.90645,0.57406,1.34122,0.00011569,0.00011569,0.00011569
96,632.675,0.58507,0.36006,0.88387,0.8681,0.69484,0.76816,0.56726,0.88988,0.56749,1.32773,9.91865e-05,9.91865e-05,9.91865e-05
97,638.504,0.58058,0.36239,0.89416,0.78669,0.78205,0.77028,0.57983,0.87742,0.54533,1.31427,8.26832e-05,8.26832e-05,8.26832e-05
98,644.235,0.56342,0.3563,0.87706,0.83697,0.78205,0.77601,0.5831,0.88402,0.55437,1.32292,6.61799e-05,6.61799e-05,6.61799e-05
99,649.965,0.58459,0.35845,0.86662,0.84864,0.78205,0.78046,0.58073,0.8854,0.55,1.32029,4.96766e-05,4.96766e-05,4.96766e-05
100,655.725,0.56013,0.34879,0.86571,0.85012,0.78205,0.7817,0.58098,0.88827,0.55079,1.32373,3.31733e-05,3.31733e-05,3.31733e-05
